rental_id,date,city,bike_type,membership_type,weather,payment_method,gender,age,duration_hours,distance_km,rental_cost,rating,is_weekend,discount_applied
1001,2024-01-01,Kolkata,Electric,Annual,Sunny,UPI,Female,31,5.3,23.4,300.22,4,True,False
1002,2024-01-02,Bangalore,Hybrid,Monthly,Sunny,Card,Female,20,1.0,12.0,643.67,5,False,True
1003,2024-01-03,Chennai,City,Annual,Rainy,UPI,Male,41,2.4,4.4,388.47,4,True,True
1004,2024-01-04,Kolkata,Mountain,Monthly,Sunny,Cash,Male,54,3.2,42.5,187.58,3,False,True
1005,2024-01-05,Delhi,City,Weekly,Cloudy,Wallet,Male,33,4.0,49.1,691.23,1,False,True
1006,2024-01-06,Chennai,Hybrid,Weekly,Cloudy,UPI,Female,21,0.8,40.1,711.92,5,False,False
1007,2024-01-07,Chennai,Hybrid,Daily,Rainy,Card,Male,41,1.6,43.0,399.73,5,True,False
1008,2024-01-08,Kolkata,Hybrid,Weekly,Cloudy,Wallet,Male,51,2.6,13.6,106.77,2,False,False
1009,2024-01-09,Mumbai,City,Annual,Windy,Wallet,Male,47,7.8,48.1,340.87,4,True,False
1010,2024-01-10,Delhi,Hybrid,Weekly,Cloudy,Card,Female,35,3.0,11.5,652.65,4,False,False
1011,2024-01-11,Kolkata,City,Monthly,Cloudy,UPI,Male,36,4.1,47.7,726.33,2,False,True
1012,2024-01-12,Delhi,Hybrid,Weekly,Sunny,Cash,Female,48,2.0,49.8,202.6,5,False,True
1013,2024-01-13,Delhi,Electric,Daily,Sunny,Cash,Other,36,5.1,36.2,100.23,3,True,True
1014,2024-01-14,Chennai,Hybrid,Weekly,Cloudy,UPI,Male,63,2.6,49.1,708.01,2,True,False
1015,2024-01-15,Bangalore,City,Monthly,Rainy,Wallet,Female,36,2.1,29.3,342.05,4,False,True
1016,2024-01-16,Delhi,Road,Monthly,Sunny,Wallet,Male,39,4.4,14.5,456.32,5,False,True
1017,2024-01-17,Pune,Hybrid,Annual,Rainy,Wallet,Female,41,0.5,23.0,776.05,1,True,False
1018,2024-01-18,Chennai,Road,Weekly,Cloudy,Wallet,Male,62,0.6,30.5,99.92,4,True,False
1019,2024-01-19,Mumbai,Electric,Monthly,Cloudy,UPI,Female,29,2.1,5.5,536.24,4,True,True
1020,2024-01-20,Bangalore,Mountain,Daily,Windy,Wallet,Female,47,0.8,31.9,105.58,2,False,False
1021,2024-01-21,Pune,Electric,Annual,Sunny,Card,Female,55,1.3,49.1,331.6,3,True,False
1022,2024-01-22,Pune,Hybrid,Daily,Cloudy,Wallet,Female,48,3.0,11.1,652.86,4,False,False
1023,2024-01-23,Mumbai,Road,Weekly,Windy,Cash,Male,53,6.5,40.0,375.1,3,True,False
1024,2024-01-24,Bangalore,Road,Weekly,Sunny,Wallet,Female,36,4.8,45.6,797.89,5,False,True
1025,2024-01-25,Chennai,City,Weekly,Cloudy,UPI,Female,62,4.3,47.3,469.29,5,False,True
1026,2024-01-26,Hyderabad,Road,Annual,Cloudy,Cash,Female,53,2.7,48.1,290.87,5,False,False
1027,2024-01-27,Bangalore,City,Monthly,Sunny,UPI,Male,47,7.5,27.0,215.08,3,True,False
1028,2024-01-28,Mumbai,Mountain,Annual,Sunny,UPI,Female,50,3.5,48.9,312.89,5,True,False
1029,2024-01-29,Pune,Hybrid,Daily,Sunny,Cash,Female,35,1.2,38.4,329.4,4,True,False
1030,2024-01-30,Chennai,City,Annual,Cloudy,UPI,Female,45,5.1,9.8,101.54,3,False,False
1031,2024-01-31,Bangalore,Mountain,Daily,Cloudy,UPI,Male,64,1.4,24.9,327.18,2,False,False
1032,2024-02-01,Hyderabad,Road,Annual,Windy,Wallet,Female,28,3.1,36.5,398.18,2,True,False
1033,2024-02-02,Hyderabad,Road,Monthly,Rainy,Card,Male,62,4.3,13.9,592.05,4,False,False
1034,2024-02-03,Delhi,Mountain,Daily,Sunny,UPI,Female,50,7.1,32.7,542.55,4,False,True
1035,2024-02-04,Delhi,Road,Weekly,Cloudy,UPI,Male,34,4.2,34.0,581.57,3,False,False
1036,2024-02-05,Kolkata,Mountain,Weekly,Cloudy,UPI,Female,23,5.8,9.8,56.27,4,True,True
1037,2024-02-06,Mumbai,City,Annual,Sunny,Wallet,Other,21,7.9,29.1,213.25,3,False,True
1038,2024-02-07,Bangalore,City,Weekly,Rainy,Card,Male,37,1.5,39.0,546.26,4,True,False
1039,2024-02-08,Bangalore,Mountain,Daily,Sunny,Cash,Other,64,2.6,25.9,412.99,4,True,True
1040,2024-02-09,Kolkata,City,Weekly,Rainy,Wallet,Male,44,3.5,2.6,53.99,5,True,True
